App Name,Category,Installs,Rating,Target_SDK,Has_Fine_Loc,Has_Background_Loc,Has_Post_Notif,Declared_FGS_Types,Embedded_Trackers
App42,Health & Fitness,"5,000,000+",4.59,36,TRUE,FALSE,TRUE,0x00000018,Google_Location_SDK
App43,Health & Fitness,"50,000+",4.72,36,TRUE,FALSE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App44,Sports,"1,000,000+",4.37,35,TRUE,TRUE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App45,Maps & Navigation,"500,000+",4.25,34,TRUE,TRUE,TRUE,"0x40000000, 0x0000000A","Firebase_Analytics, Google_Location_SDK"
App46,Maps & Navigation,"500,000+",4.17,36,TRUE,TRUE,TRUE,"0x00000008, 0x00000002","Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
App47,Travel & Local,"1,000,000+",4.2,35,TRUE,FALSE,TRUE,"0x00000001, 0x00000008",Google_Location_SDK
App48,Sports,"5,000+",Unrated,36,TRUE,TRUE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
App49,Maps & Navigation,"1,000,000+",3.46,35,TRUE,FALSE,TRUE,"0x00000001, 0x00000008","Firebase_Analytics, Google_Location_SDK"
App50,Sports,"500,000+",4.36,35,TRUE,FALSE,TRUE,"0x00000001, 0x00000008","Firebase_Analytics, Google_Location_SDK"
App51,Finance,"1,000,000+",4.71,35,TRUE,TRUE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
App52,Finance,"1,000,000+",3.07,35,TRUE,TRUE,TRUE,"0x00000009, 0x00000008","Firebase_Analytics, Google_Location_SDK"
App53,Finance,"1,000,000+",4.54,35,TRUE,TRUE,TRUE,"@7F0B000B, 0x00000008","Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
App54,Sports,"100,000+",4.59,36,TRUE,FALSE,TRUE,0x0000000A,"Firebase_Analytics, Google_Location_SDK"
App55,Maps & Navigation,"10,000+",4.67,36,TRUE,TRUE,TRUE,0x00000008,Google_Location_SDK
App56,Health & Fitness,"100,000,000+",4.85,35,TRUE,TRUE,TRUE,"0x00000108, 0x00000100","Firebase_Analytics, Google_Location_SDK"
App57,Health & Fitness,"5,000,000+",4.55,36,TRUE,FALSE,TRUE,"0x00000008, 0x00000020",None Detected
App58,Productivity,"500,000+",4.03,36,TRUE,FALSE,TRUE,"0x00000018, 0x00000008",None Detected
App59,Maps & Navigation,"1,000,000+",4.41,35,TRUE,FALSE,TRUE,"0x00000001, 0x00000008","Firebase_Analytics, Google_Location_SDK"
App60,Maps & Navigation,"500,000+",3.89,35,TRUE,FALSE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App61,Maps & Navigation,"500,000+",4.27,36,TRUE,FALSE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App62,Maps & Navigation,"5,000+",Unrated,35,TRUE,FALSE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App63,Business,"500,000+",4.27,35,TRUE,TRUE,TRUE,"0x00000008, @7F0B000A","Firebase_Analytics, Google_Location_SDK"
App64,Maps & Navigation,"100,000+",4.84,36,TRUE,FALSE,TRUE,"0x00000001, 0x00000008","Firebase_Analytics, Google_Location_SDK"
App65,Maps & Navigation,"100,000+",3.4,36,TRUE,FALSE,TRUE,"0x00000001, 0x00000008",Google_Location_SDK
App66,Health & Fitness,"10,000,000+",4.78,35,TRUE,FALSE,TRUE,"0x00000800, 0x0000000A","Firebase_Analytics, Google_Location_SDK"
App67,Health & Fitness,"5,000,000+",4.55,35,TRUE,FALSE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
App68,Health & Fitness,"100,000,000+",3.76,35,TRUE,TRUE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App69,Health & Fitness,"1,000,000+",4.64,36,TRUE,FALSE,TRUE,0x0000000A,Google_Location_SDK
App70,Health & Fitness,"1,000,000+",4.77,35,TRUE,TRUE,TRUE,0x40000000,"Firebase_Analytics, Google_Location_SDK"
App71,Health & Fitness,"500,000+",4.59,35,TRUE,TRUE,TRUE,0x40000000,"Firebase_Analytics, Google_Location_SDK"
App72,Maps & Navigation,"10,000+",3.42,36,TRUE,TRUE,TRUE,"0x00000010, 0x00000008","Firebase_Analytics, Google_Location_SDK"
App73,Maps & Navigation,"1,000,000+",4.77,35,TRUE,FALSE,TRUE,"0x00000001, 0x00000008, 0x0000000A","Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
App74,Health & Fitness,"5,000,000+",4.78,35,TRUE,TRUE,TRUE,"0x00000108, 0x00000100","Firebase_Analytics, Google_Location_SDK"
App75,Health & Fitness,"1,000,000+",4.69,35,TRUE,FALSE,TRUE,"0x00000800, 0x0000000A","Firebase_Analytics, Google_Location_SDK"
App76,Health & Fitness,"1,000,000+",4.39,35,TRUE,TRUE,TRUE,"0x00000001, 0x00000008","Firebase_Analytics, Google_Location_SDK"
App77,Health & Fitness,"5,000,000+",4.71,36,TRUE,TRUE,TRUE,"0x00000010, 0x00000008, 0x00000100","Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
App78,Maps & Navigation,"10,000+",4.14,36,TRUE,TRUE,TRUE,"0x00000010, 0x00000008",Firebase_Analytics
App79,Health & Fitness,500+,Unrated,36,TRUE,TRUE,FALSE,None Declared,Google_Location_SDK
App80,Health & Fitness,"100,000+",4.62,35,TRUE,TRUE,TRUE,"0x00000018, 0x00000010","Firebase_Analytics, Google_Location_SDK"
App81,Lifestyle,"100,000+",1.79,35,TRUE,TRUE,TRUE,"0x00000010, 0x00000008","Firebase_Analytics, Google_Location_SDK"
App82,Maps & Navigation,"500,000+",3.77,35,TRUE,TRUE,TRUE,"0x00000001, 0x00000010, 0x00000008, 0x00000009","Firebase_Analytics, Google_Location_SDK"
App83,Health & Fitness,"100,000+",4.09,36,TRUE,TRUE,TRUE,"0x00000010, 0x00000008","Firebase_Analytics, Google_Location_SDK"
App84,Health & Fitness,"500,000+",3.93,35,TRUE,TRUE,TRUE,0x00000010,"Firebase_Analytics, Google_Location_SDK, Mapbox_Telemetry"
App85,Sports,"1,000,000+",4.11,35,TRUE,FALSE,TRUE,"0x00000001, 0x00000008","Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
App86,Weather,"1,000,000+",4.31,36,TRUE,FALSE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
App87,Maps & Navigation,"100,000+",3.46,35,TRUE,FALSE,TRUE,"0x00000001, 0x00000010, 0x00000008, 0x00000002","Firebase_Analytics, Google_Location_SDK"
App88,Maps & Navigation,"500,000+",3.79,35,TRUE,FALSE,TRUE,"0x00000001, 0x00000010, 0x00000008",Google_Location_SDK
